itemId;ENCODING;OPTION_0_CONDITION_NO;OPTION_1_CONDITION_NO;ITEM_FUNCTION;ITEM_GROUP;ITEM_SUBGROUP;OPTION_0_ITEM;OPTION_0_KEY_CONDITION;OPTION_1_ITEM;OPTION_1_KEY_CONDITION
f01_1_2;f01;1;2;control;filler;related;Ich habe gehört, dass der Geschäftsmann was in Anspruch genommen hat. Was es war, weiß ich aber nicht.;SUBJ OBJfix;Ich habe gehört, dass was der Geschäftsmann in Anspruch genommen hat. Was es war, weiß ich aber nicht.;*OBJfix SUBJ
f02_1_2;f02;1;2;control;filler;related;Pia hat erzählt, dass der Abteilungsleiter was in Aussicht gestellt hat. Was es war, weiß ich aber nicht.;SUBJ OBJfix;Pia hat erzählt, dass was der Abteilungsleiter in Aussicht gestellt hat. Was es war, weiß ich aber nicht.;*OBJfix SUBJ
f03_1_2;f03;1;2;control;filler;related;Max hat erzählt, dass der Richter was zur Kenntnis genommen hat. Was es war, weiß ich aber nicht.;SUBJ OBJfix;Max hat erzählt, dass was der Richter zur Kenntnis genommen hat. Was es war, weiß ich aber nicht.;*OBJfix SUBJ
f04_1_2;f04;1;2;control;filler;related;Lea hat erzählt, dass der Student was zum Verkauf angeboten hat. Was es war, weiß ich aber nicht.;SUBJ OBJfix;Lea hat erzählt, dass was der Student zum Verkauf angeboten hat. Was es war, weiß ich aber nicht.;*OBJfix SUBJ
f05_1_2;f05;1;2;control;filler;related;Ich habe gehört, dass der Politiker was unter Verschluss gehalten hat. Was es war, weiß ich aber nicht.;SUBJ OBJfix;Ich habe gehört, dass was der Politiker unter Verschluss gehalten hat. Was es war, weiß ich aber nicht.;*OBJfix SUBJ
f06_1_2;f06;1;2;control;filler;related;Ich habe gehört, dass der Trödler was an den Mann gebracht hat. Was es war, weiß ich aber nicht.;SUBJ OBJfix;Ich habe gehört, dass was der Trödler an den Mann gebracht hat. Was es war, weiß ich aber nicht.;*OBJfix SUBJ
f07_1_2;f07;1;2;control;filler;related;Isa hat erzählt, dass der Ermittler was auf den Kopf gestellt hat. Was es war, weiß ich aber nicht.;SUBJ OBJfix;Isa hat erzählt, dass was der Ermittler auf den Kopf gestellt hat. Was es war, weiß ich aber nicht.;*OBJfix SUBJ
f08_1_2;f08;1;2;control;filler;related;Ich habe gehört, dass der Vorsitzende was zum Abschluss gebracht hat. Was es war, weiß ich aber nicht.;SUBJ OBJfix;Ich habe gehört, dass was der Vorsitzende zum Abschluss gebracht hat. Was es war, weiß ich aber nicht.;*OBJfix SUBJ
f09_1_2;f09;1;2;control;filler;unrelated;Lea hat erzählt, dass sie die Speisen genossen hat. Ob das stimmt, weiß ich aber nicht.;SUBJ OBJ;Lea hat erzählt, dass die Speisen sie genossen hat. Ob das stimmt, weiß ich aber nicht.;*OBJ SUBJ
f10_1_2;f10;1;2;control;filler;unrelated;Uwe hat erzählt, dass er Schlagerlieder verabscheut. Seit wann das so ist, weiß ich aber nicht.;SUBJ OBJ;Uwe hat erzählt, dass Schlagerlieder er verabscheut. Seit wann das so ist, weiß ich aber nicht.;*OBJ SUBJ
f11_1_2;f11;1;2;control;filler;unrelated;Ben hat erzählt, dass er seine Nachbarn beneidet. Warum genau, weiß ich aber nicht.;SUBJ OBJ;Ben hat erzählt, dass seine Nachbarn er beneidet. Warum genau, weiß ich aber nicht.;*OBJ SUBJ
f12_1_2;f12;1;2;control;filler;unrelated;Kim hat erzählt, dass sie ihren Chef verehrt. Ob das auf Gegenseitigkeit beruht, weiß ich aber nicht.;SUBJ OBJ;Kim hat erzählt, dass ihren Chef sie verehrt. Ob das auf Gegenseitigkeit beruht, weiß ich aber nicht.;*OBJ SUBJ
f13_1_2;f13;1;2;control;filler;unrelated;Isa hat erzählt, dass sie die Vorbehalte missbilligt. Was genau vorgefallen ist, weiß ich aber nicht.;SUBJ OBJ;Isa hat erzählt, dass die Vorbehalte sie missbilligt. Was genau vorgefallen ist, weiß ich aber nicht.;*OBJ SUBJ
f14_1_2;f14;1;2;control;filler;unrelated;Max hat erzählt, dass er Schwarzweißfilme liebt. Was er daran findet, weiß ich aber nicht.;SUBJ OBJ;Max hat erzählt, dass Schwarzweißfilme er liebt. Was er daran findet, weiß ich aber nicht.;*OBJ SUBJ
f15_1_2;f15;1;2;control;filler;unrelated;Pia hat erzählt, dass sie Zugverspätungen hasst. Ob sie oft betroffen ist, weiß ich aber nicht.;SUBJ OBJ;Pia hat erzählt, dass Zugverspätungen sie hasst. Ob sie oft betroffen ist, weiß ich aber nicht.;*OBJ SUBJ
f16_1_2;f16;1;2;control;filler;unrelated;Uwe hat erzählt, dass er die Vorkommnisse verurteilt. Was genau vorgefallen ist, weiß ich aber nicht.;SUBJ OBJ;Uwe hat erzählt, dass die Vorkommnisse er verurteilt. Was genau vorgefallen ist, weiß ich aber nicht.;*OBJ SUBJ
f17_1_2;f17;1;2;attention;filler;pseudo_windef;Kannst du mir sagen, wen Uwe gefeuert hat? Ich hoffe, es war nicht Ben.;grammatical;Kannst du mir sagen, wen Uwe gefeuert hat? Ich hoffe, es nicht war Ben.;*
f18_1_2;f18;1;2;calibration;filler;pseudo_windef;Weißt du vielleicht, was Tim gerade eben aus dem Fenster geschmissen hat? Ich hoffe, es war kein Blumentopf.;grammatical;Weißt du vielleicht, was gerade eben aus dem Fenster geschmissen Tim hat? Ich hoffe, es war kein Blumentopf.;*
f19_1_2;f19;1;2;attention;filler;pseudo_windef;Weißt du vielleicht, was Isa bestellt hat? Ich hoffe, es war nichts Teures.;grammatical;Weißt du vielleicht, was Isa bestellt hat? Ich hoffe, es nichts Teures war.;*
f20_1_3;f20;1;3;filler;filler;pseudo_windef;Kannst du mir sagen, wen Kim mit dem Fall beauftragt hat? Ich hoffe, es ist jemand mit Erfahrung.;grammatical;Kannst du mir sagen, wen Kim beauftragt hat mit dem Fall? Ich hoffe, es ist jemand mit Erfahrung.;?
f21_1_2;f21;1;2;attention;filler;pseudo_windef;Kannst du mir sagen, wen Kai am Samstag in die Oper begleitet hat? Ich hoffe, dass es eine nette Dame war.;grammatical;Kannst du mir sagen, wen Kai am Samstag in die Oper begleitet hat? Ich hoffe, dass eine nette Dame es war.;*
f22_1_3;f22;1;3;filler;filler;pseudo_windef;Weißt du vielleicht, wen Lea gerade angerufen hat? Ich hoffe, dass es keine teure Hotline war.;grammatical;Weißt du vielleicht, wen Lea angerufen hat gerade? Ich hoffe, dass es keine teure Hotline war.;?
f23_1_3;f23;1;3;filler;filler;pseudo_windef;Weißt du vielleicht, wen Tim heute morgen verhaftet hat? Ich hoffe, es war kein Unschuldiger.;grammatical;Weißt du vielleicht, wen Tim verhaftet hat heute morgen? Ich hoffe, es war kein Unschuldiger.;?
f24_1_2;f24;1;2;attention;filler;pseudo_windef;Kannst du mir sagen, was Max zum Tatzeitpunkt gemacht hat? Ich hoffe, er hat ein gutes Alibi.;grammatical;Kannst du mir sagen, was Max zum Tatzeitpunkt gemacht hat? Ich hoffe, er ein gutes Alibi hat.;*
f25_1_3;f25;1;3;calibration;filler;unrelated;Kim hat erzählt, dass sie sich gerade unglaublich zusammenreißen musste. Warum genau, weiß ich aber nicht.;grammatical;Kim hat erzählt, dass sie sich unglaublich gerade zusammenreißen musste. Warum genau, weiß ich aber nicht.;?
f26_1_2;f26;1;2;calibration;filler;unrelated;Jan hat versprochen, dass er sich beeilt. Ich hoffe, er schafft es rechtzeitig.;grammatical;Jan hat versprochen, dass sich er beeilt. Ich hoffe, er schafft es rechtzeitig.;*
f27_1_3;f27;1;3;filler;filler;pseudo_COM;Ich habe mitbekommen, dass Tim sich zusammen mit Ben auf verdächtige Art weggeschlichen hat. Warum er das getan hat, weiß ich aber nicht.;grammatical;Ich habe mitbekommen, dass Tim zusammen mit Ben sich auf verdächtige Art weggeschlichen hat. Warum er das getan hat, weiß ich aber nicht.;?
f28_1_2;f28;1;2;filler;filler;unrelated;Eva hat erzählt, dass sie sich in der Mittagspause ganz plötzlich übergeben musste. Warum, weiß sie aber auch nicht.;grammatical;Eva hat erzählt, dass sie in der Mittagspause ganz plötzlich übergeben musste sich. Warum, weiß sie aber auch nicht.;*
f29_1_3;f29;1;3;filler;filler;unrelated;Ich habe mitbekommen, dass sich der Sprecher bei der Probe häufig geräuspert hat. Warum genau, weiß ich aber nicht.;grammatical;Ich habe mitbekommen, dass sich bei der Probe der Sprecher häufig geräuspert hat. Warum genau, weiß ich aber nicht.;?
f30_1_3;f30;1;3;filler;filler;unrelated;Eva hat versprochen, dass sie sich vor dem Sport immer bei geöffnetem Fenster dehnt. Ich hoffe, sie hält sich auch daran.;grammatical;Eva hat versprochen, dass sie sich immer bei geöffnetem Fenster dehnt vor dem Sport. Ich hoffe, sie hält sich auch daran.;?
f31_1_2;f31;1;2;attention;filler;unrelated;Isa hat versprochen, dass sie sich während der Diät täglich wiegt. Ich hoffe, dass sie ihr Wunschgewicht erreicht.;grammatical;Isa hat versprochen, dass sie sich während der Diät täglich wiegt. Ich hoffe, dass ihr Wunschgewicht sie erreicht.;*
f32_1_2;f32;1;2;attention;filler;unrelated;Max hat versprochen, dass er sich von nun an in der Schule benimmt. Ich hoffe, dass er seine Unruhe in den Griff bekommt.;grammatical;Max hat versprochen, dass er sich von nun an in der Schule benimmt. Ich hoffe, dass seine Unruhe in den Griff er bekommt.;*
f33_1_3;f33;1;3;filler;filler;unrelated;Ich habe gehört, dass Uwe sich für einen Ausbildungsberuf entschieden hat. Für welchen genau, weiß ich aber nicht.;grammatical;Ich habe gehört, dass sich Uwe für einen Ausbildungsberuf entschieden hat. Für welchen genau, weiß ich aber nicht.;?
f34_1_3;f34;1;3;calibration;filler;unrelated;Ich habe gehört, dass Lea sich bei Max gemeldet hat. Warum genau, weiß ich aber nicht.;grammatical;Ich habe gehört, dass Lea bei Max sich gemeldet hat. Warum genau, weiß ich aber nicht.;?
f35_1_2;f35;1;2;attention;filler;pseudo_COM;Ben hat erzählt, dass er sich auf heftige Weise mit Pia angelegt hat. Warum genau, weiß ich aber nicht.;grammatical;Ben hat erzählt, dass er sich auf heftige Weise mit Pia angelegt hat. Warum genau, weiß ich nicht aber.;*
f36_1_3;f36;1;3;calibration;filler;unrelated;Ich habe gehört, dass Pia sich für ihre Verhaltensweise geschämt hat. Was genau vorgefallen ist, weiß ich aber nicht.;grammatical;Ich habe gehört, dass sich Pia für ihre Verhaltensweise geschämt hat. Was genau vorgefallen ist, weiß ich aber nicht.;?
f37_1_2;f37;1;2;filler;filler;pseudo_COM;Ich habe mitbekommen, dass Tim sich bei angelehnter Tür mit einem Kommilitonen ausgetauscht hat. Worüber genau, weiß ich aber nicht.;grammatical;Ich habe mitbekommen, dass Tim bei angelehnter Tür mit einem Kommilitonen ausgetauscht sich hat. Worüber genau, weiß ich aber nicht.;*
f38_1_3;f38;1;3;filler;filler;unrelated;Ich habe mitbekommen, dass Kai sich bei der Stadt beworben hat. Ob er gute Chancen hat, weiß ich aber nicht.;grammatical;Ich habe mitbekommen, dass Kai bei der Stadt sich beworben hat. Ob er gute Chancen hat, weiß ich aber nicht.;?
f39_1_2;f39;1;2;attention;filler;unrelated;Lea hat versprochen, dass sie sich bis morgen über die Finanzierungsmöglichkeiten informiert. Ich hoffe, dass wir einen Kredit bekommen.;grammatical;Lea hat versprochen, dass sie sich bis morgen über die Finanzierungsmöglichkeiten informiert. Ich hoffe, dass wir bekommen einen Kredit.;*
f40_1_2;f40;1;2;attention;filler;unrelated;Ich habe gehört, dass Tim sich in einen Mann verliebt hat. Wie er das seiner Frau beibringen will, weiß ich aber nicht.;grammatical;Ich habe gehört, dass Tim sich in einen Mann verliebt hat. Wie das er seiner Frau beibringen will, weiß ich aber nicht.;*
f41_1_3;f41;1;3;filler;filler;unrelated ;Tim hat erzählt, dass er Uwe mit seiner unkonventionellen Art beeindruckt hat. Was genau passiert ist, weiß ich aber nicht.;grammatical;Tim hat erzählt, dass er mit seiner unkonventionellen Art Uwe beeindruckt hat. Was genau passiert ist, weiß ich aber nicht.;?
f42_1_2;f42;1;2;attention;filler;unrelated;Uwe hat erzählt, dass ihn das Theaterstück auf angenehme Weise entzückt hat. Ich hoffe, dass er nun öfter mitkommt.;grammatical;Uwe hat erzählt, dass ihn das Theaterstück auf angenehme Weise entzückt hat. Ich hoffe, dass nun er öfter mitkommt.;*
f43_1_3;f43;1;3;filler;filler;unrelated;Tim hat erzählt, dass ihn eine Meldung zutiefst schockiert hat. Welche genau, weiß ich aber nicht.;grammatical;Tim hat erzählt, dass ihn zutiefst eine Meldung schockiert hat. Welche genau, weiß ich aber nicht.;?
f44_1_2;f44;1;2;calibration;filler;unrelated;Ben hat erzählt, dass sein Sohn einigen Nachbarn auf die Nerven gegangen ist. Ob ihn das stört, weiß ich aber nicht.;grammatical;Ben hat erzählt, dass sein Sohn auf die Nerven einigen Nachbarn gegangen ist. Ob ihn das stört, weiß ich aber nicht.;*
f45_1_2;f45;1;2;attention;filler;unrelated;Kai hat erzählt, dass der neue Mitarbeiter ihn anwidert. Wie lange er das noch aushält, weiß ich aber nicht.;grammatical;Kai hat erzählt, dass der neue Mitarbeiter ihn anwidert. Wie lange das noch aushält er, weiß ich aber nicht.;*
f46_1_3;f46;1;3;filler;filler;unrelated;Ich habe mitbekommen, dass der Beschluss die Bürger aufgewühlt hat. Ich hoffe, dass sich die Gemüter schnell wieder beruhigen.;grammatical;Ich habe mitbekommen, dass die Bürger der Beschluss aufgewühlt hat. Ich hoffe, dass sich die Gemüter schnell wieder beruhigen.;?
f47_1_2;f47;1;2;filler;filler;unrelated;Ich habe mitbekommen, dass der Problemschüler die Lehrer erstaunt hat. Ich hoffe, dass er doch noch versetzt wird.;grammatical;Ich habe mitbekommen, dass der Problemschüler erstaunt die Lehrer hat. Ich hoffe, dass er doch noch versetzt wird.;*
f48_1_2;f48;1;2;attention;filler;unrelated;Ich habe mitbekommen, dass der Clown die Zirkusbesucher gelangweilt hat. Ich hoffe, dass sie den Abend trotzdem genossen haben.;grammatical;Ich habe mitbekommen, dass der Clown die Zirkusbesucher gelangweilt hat. Ich hoffe, dass sie den Abend genossen trotzdem haben.;*
