ENCODING;ANIMACY_INT_ARG;ANIMACY_OBJ;ANIMACY_SUBJ;INT_ARG;P;PHENOMENON; 
f01;inanimate;inanimate;animate;Anspruch;IN;trans_CVC;
f02;inanimate;inanimate;animate;Aussicht;IN;trans_CVC;
f03;inanimate;inanimate;animate;Kenntnis;ZU;trans_CVC;
f04;inanimate;inanimate;animate;Verkauf;ZU;trans_CVC;
f05;inanimate;inanimate;animate;Verschluss;UNTER;trans_CVC;
f06;animate;inanimate;animate;Mann;AN;trans_CVC;
f07;inanimate;inanimate;animate;Kopf;AUF;trans_CVC;
f08;inanimate;inanimate;animate;Abschluss;ZU;trans_CVC;
f09;;inanimate;animate;;;STM_OBJ;
f10;;inanimate;animate;;;STM_OBJ;
f11;;animate;animate;;;STM_OBJ;
f12;;animate;animate;;;STM_OBJ;
f13;;inanimate;animate;;;STM_OBJ;
f14;;inanimate;animate;;;STM_OBJ;
f15;;inanimate;animate;;;STM_OBJ;
f16;;inanimate;animate;;;STM_OBJ;
f17;;animate;animate;;;trans_Q;
f18;;inanimate;animate;;;trans_Q;
f19;;inanimate;animate;;;trans_Q;
f20;;animate;animate;;;trans_Q;
f41;;animate;animate;;;trans_Q;
f22;;animate;animate;;;trans_Q;
f23;;animate;animate;;;trans_Q;
f24;;inanimate;animate;;;trans_Q;
f25;;;animate;;;SUBJ REFL;
f26;;;animate;;;SUBJ REFL;
f27;;;animate;;;SUBJ REFL;
f28;;;animate;;;SUBJ REFL;
f29;;;animate;;;SUBJ REFL;
f30;;;animate;;;SUBJ REFL;
f31;;;animate;;;SUBJ REFL;
f32;;;animate;;;SUBJ REFL;
f33;inanimate;;animate;Ausbildungsberuf;FÜR;SUBJ REFL PO;
f34;animate;;animate;Max;BEI;SUBJ REFL PO;
f35;animate;;animate;Pia;MIT;SUBJ REFL PO;
f36;inanimate;;animate;Verhaltensweise;FÜR;SUBJ REFL PO;
f37;animate;;animate;Kommilitone;MIT;SUBJ REFL PO;
f38;inanimate;;animate;Stadt;BEI;SUBJ REFL PO;
f39;inanimate;;animate;Finanzierungsmöglichkeiten;ÜBER;SUBJ REFL PO;
f40;animate;;animate;Mann;IN;SUBJ REFL PO;
f41;;animate;animate;;;STM_SUBJ;
f42;;animate;inanimate;;;STM_SUBJ;
f43;;animate;inanimate;;;STM_SUBJ;
f44;;animate;animate;;;STM_SUBJ;
f45;;animate;animate;;;STM_SUBJ;
f46;;animate;inanimate;;;STM_SUBJ;
f47;;animate;animate;;;STM_SUBJ;
f48;;animate;animate;;;STM_SUBJ;
