encoding;item_group;item_subgroup;item_function;phenomenon;adverbial_class;adverbial_type;orientation;original ;ID;original_matrix verb;freq_matrix verb;P ;int arg;int arg_type;syntax_int arg;animacy_int arg;animacy_SUBJ;animacy_OBJ;condition 1;condition 2;condition 3;condition 4;key_condition 1_ORDER;key_condition 1_OBJ;key_condition 2_ORDER;key_condition 2_OBJ;key_condition 3_ORDER;key_condition 3_OBJ;key_condition 4_ORDER;key_condition 4_OBJ;mp_item1;mp_item2;condition_mp_item1;condition_mp_item2
t01;test;;test;advPP;internal;INSTR;SUBJ;Vorgangsmuster werden über einen graphischen Editor erstellt .;nzz_1993_10_20_a49_seg16_s17_hit1;erstellen;;ÜBER ;Grafikeditor;entity;P DETindef N;inanimate;animate;inanimate;Ich habe gehört, dass ein Angestellter über einen Grafikeditor was erstellt hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Angestellter was über einen Grafikeditor erstellt hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Angestellter über einen Grafikeditor ein Schnittmuster erstellt hat. Was für eins es war, weiß ich aber nicht.;Ich habe gehört, dass ein Angestellter ein Schnittmuster über einen Grafikeditor erstellt hat. Was für eins es war, weiß ich aber nicht.;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t02;test;;test;advPP;internal;INSTR;SUBJ;Die Zahlung der gebuchten Leistungen erfolgt über Kreditkarte , und das Flugticket - falls die betreffende Airline noch nicht mit Electronic Ticketing arbeitet - wird Kunden aus Europa gegen eine Gebühr von rund 45 Franken per Kurier zugestellt . ;nzz_1999_03_18_a225_seg8_s2_hit1;abrechnen ;;ÜBER ;Kreditkarte ;entity;P DETindef N;inanimate;animate;inanimate;Ben hat erzählt, dass ein Geschäftsmann über eine Kreditkarte was abgerechnet hat. Was es war, weiß ich aber nicht.;Ben hat erzählt, dass ein Geschäftsmann was über eine Kreditkarte abgerechnet hat. Was es war, weiß ich aber nicht.;Ben hat erzählt, dass ein Geschäftsmann über eine Kreditkarte ein Firmenessen abgerechnet hat. Ob er ein Trinkgeld gegeben hat, weiß ich aber nicht.;Ben hat erzählt, dass ein Geschäftsmann ein Firmenessen über eine Kreditkarte abgerechnet hat. Ob er ein Trinkgeld gegeben hat, weiß ich aber nicht.;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t03;test;;test;advPP;internal;INSTR;SUBJ;Die Farbe der Lampen kann über einen Raspberry Pi gesteuert werden. ;https://t3n.de/news/raspberry-pi-projekte-434138/3/;steuern;;ÜBER ;Computer;entity;P DETindef N;inanimate;animate;inanimate;Lea hat erzählt, dass ein Veranstaltungstechniker über einen Computer was gesteuert hat. Was es war, weiß ich aber nicht. ;Lea hat erzählt, dass ein Veranstaltungstechniker was über einen Computer gesteuert hat. Was es war, weiß ich aber nicht. ;Lea hat erzählt, dass ein Veranstaltungstechniker über einen Computer eine Anlage gesteuert hat. Was für eine, weiß ich aber nicht. ;Lea hat erzählt, dass ein Veranstaltungstechniker eine Anlage über einen Computer gesteuert hat. Was für eine, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t04;test;;test;advPP;internal;INSTR;SUBJ;Jede Station wurde vom Fahrer über ein Mikrofon angekündigt, samt den Umsteigeverbindungen. ;https://www.sn.at/wiki/Busfahren_(Geschichte);ankündigen;;ÜBER ;Mikrofon;entity;P DETindef N;inanimate;animate;inanimate;Ich habe gehört, dass ein Busfahrer über ein Mikrofon was angekündigt hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Busfahrer was über ein Mikrofon angekündigt hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Busfahrer über ein Mikrofon einen Haltestellenausfall angekündigt hat. Welche Busstation betroffen war, weiß ich aber nicht. ;Ich habe gehört, dass ein Busfahrer einen Haltestellenausfall über ein Mikrofon angekündigt hat. Welche Busstation betroffen war, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t05;test;;test;advPP;internal;INSTR;SUBJ;Mit dem pen-fähigen Notebook Computer « Concerto » bietet die Compaq Computer AG , Bassersdorf , einen vollwertigen Notebook , der sich sowohl über die Tastatur wie auch mittels eines Schreibstiftes bedienen lässt . ;nzz_1993_10_20_a49_seg29_s1_hit1;bedienen;;ÜBER ;Tastatur;entity;P DETindef N;inanimate;animate;inanimate;Ich habe gehört, dass ein Schüler über eine Tastatur was bedient hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Schüler was über eine Tastatur bedient hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Schüler über eine Tastatur ein Notebook bedient hat. Was er genau gemacht hat, weiß ich aber nicht. ;Ich habe gehört, dass ein Schüler ein Notebook über eine Tastatur bedient hat. Was er genau gemacht hat, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t06;test;;test;advPP;internal;INSTR;SUBJ;Zur Mundpflege können alle Lieblingsgetränke, eventuell über eine Pipette oder über eine kleine Sprayflasche verabreicht werden. ;https://www.hospiz.at/betroffene/fuer-erwachsene/so-geht-es-sterbenden/;verabreichen;;ÜBER ;Pipette ;entity;P DETindef N;inanimate;animate;inanimate;Max hat erzählt, dass ein Pfleger über eine Pipette was verabreicht hat. Was es war, weiß ich aber nicht. ;Max hat erzählt, dass ein Pfleger was über eine Pipette verabreicht hat. Was es war, weiß ich aber nicht. ;Max hat erzählt, dass ein Pfleger über eine Pipette ein Arzneimittel verabreicht hat. Was für eins, weiß ich aber nicht. ;Max hat erzählt, dass ein Pfleger ein Arzneimittel über eine Pipette verabreicht hat. Was für eins, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t07;test;;test;advPP;internal;INSTR;SUBJ;Es stehe zudem fest, dass die Substanz mittels Spritze injiziert worden sei - die Dopingaffäre wurde damit zum Kriminalstück.;Manual ;injizieren;;MITTELS;Spritze;entity;MOD P DETindef N;inanimate;animate;inanimate;Eva hat erzählt, dass ein Mediziner mittels einer Spritze was injiziert hat. Was es war, weiß ich aber nicht. ;Eva hat erzählt, dass ein Mediziner was mittels einer Spritze injiziert hat. Was es war, weiß ich aber nicht. ;Eva hat erzählt, dass ein Mediziner mittels einer Spritze eine Substanz injiziert hat. Was für eine es war, weiß ich aber nicht. ;Eva hat erzählt, dass ein Mediziner eine Substanz mittels einer Spritze injiziert hat. Was für eine es war, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t08;test;;test;advPP;internal;INSTR;SUBJ;Wie sich Schimmelpilze im Leder von Büchern einnisten , hat schon im siebzehnten Jahrhundert Hooke mit dem Mikroskop untersucht . ;nzz_1993_07_05_a35_seg6_s1_hit1 (bei MIT) ;untersuchen;;MITTELS ;Mikroskop;entity;MOD P DETindef N;inanimate;animate;inanimate;Ich habe gehört, dass ein Wissenschaftler mittels eines Mikroskops was untersucht hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Wissenschaftler was mittels eines Mikroskops untersucht hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Wissenschaftler mittels eines Mikroskops eine Probe untersucht hat. Was für eine es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Wissenschaftler eine Probe mittels eines Mikroskops untersucht hat. Was für eine es war, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t09;test;;test;advPP;internal;INSTR;SUBJ;Der fünfjährige Sohn der Frau hatte das Bett seiner Schwester mit einem Feuerzeug angezündet.;nzz_1993_11_12_a52_seg8_s5_hit1 (bei MIT);anzünden;;MITTELS;Feuerzeug;entity;MOD P DETindef N;inanimate;animate;inanimate;Ich habe gehört, dass ein Heimkind mittels eines Feuerzeugs was angezündet hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Heimkind was mittels eines Feuerzeugs angezündet hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Heimkind mittels eines Feuerzeugs ein Bett angezündet hat. Warum er das getan hat, weiß ich aber nicht. ;Ich habe gehört, dass ein Heimkind ein Bett mittels eines Feuerzeugs angezündet hat. Warum er das getan hat, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t10;test;;test;advPP;internal;INSTR;SUBJ;Die Maschinen , die mit der bereits restaurierten Turbine und Seiltransmission angetrieben werden sollen , konnten aus einer kürzlich liquidierten Sammlung übernommen werden . ;nzz_1993_09_10_a210_seg3_s5_hit1;antreiben;;MITTELS;Turbine;entity;MOD P DETindef N;inanimate;animate;inanimate;Pia hat erzählt, dass ein Industriearbeiter mittels einer Turbine was angetrieben hat. Was es war, weiß ich aber nicht.;Pia hat erzählt, dass ein Industriearbeiter was mittels einer Turbine angetrieben hat. Was es war, weiß ich aber nicht.;Pia hat erzählt, dass ein Industriearbeiter mittels einer Turbine eine Maschine angetrieben hat. Welche genau, weiß ich aber nicht.;Pia hat erzählt, dass ein Industriearbeiter eine Maschine mittels einer Turbine angetrieben hat. Welche genau, weiß ich aber nicht.;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
